Match,Team 1,Team 2,Date,Time,Season
Match 50,Delhi Daredevils,Mumbai Indians,2008-05-24,8:00 pm,2008
Match 51,Deccan Chargers,Royal Challengers Bangalore,2008-05-25,4:00 pm,2008
Match 52,Kolkata Knight Riders,Punjab Kings,2008-05-25,8:00 pm,2008
Match 53,Rajasthan Royals,Mumbai Indians,2008-05-26,8:00 pm,2008
Match 54,Deccan Chargers,Chennai Super Kings,2008-05-27,8:00 pm,2008
Match 55,Royal Challengers Bangalore,Mumbai Indians,2008-05-28,4:00 pm,2008
Match 56,Punjab Kings,Rajasthan Royals,2008-05-28,8:00 pm,2008
Match 57,Delhi Daredevils,Rajasthan Royals,2008-05-30,8:00 pm,2008
Match 58,Chennai Super Kings,Punjab Kings,2008-05-31,8:00 pm,2008
Match 59,Chennai Super Kings,Rajasthan Royals,2008-06-01,8:00 pm,2008
Match 1,Chennai Super Kings,Mumbai Indians,2009-04-18,4:00 pm,2009
Match 2,Royal Challengers Bangalore,Rajasthan Royals,2009-04-18,8:00 pm,2009
Match 3,Delhi Daredevils,Punjab Kings,2009-04-19,4:00 pm,2009
Match 4,Deccan Chargers,Kolkata Knight Riders,2009-04-19,8:00 pm,2009
Match 5,Royal Challengers Bangalore,Chennai Super Kings,2009-04-20,8:00 pm,2009
Match 6,Punjab Kings,Kolkata Knight Riders,2009-04-21,4:00 pm,2009
Match 7,Mumbai Indians,Rajasthan Royals,2009-04-21,8:00 pm,2009
Match 8,Royal Challengers Bangalore,Deccan Chargers,2009-04-22,8:00 pm,2009
Match 9,Chennai Super Kings,Delhi Daredevils,2009-04-23,4:00 pm,2009
Match 10,Kolkata Knight Riders,Rajasthan Royals,2009-04-23,8:00 pm,2009
Match 11,Royal Challengers Bangalore,Punjab Kings,2009-04-24,8:00 pm,2009
Match 12,Deccan Chargers,Mumbai Indians,2009-04-25,4:00 pm,2009
Match 13,Chennai Super Kings,Kolkata Knight Riders,2009-04-25,8:00 pm,2009
Match 14,Royal Challengers Bangalore,Delhi Daredevils,2009-04-26,4:00 pm,2009
Match 15,Punjab Kings,Rajasthan Royals,2009-04-26,8:00 pm,2009
Match 16,Chennai Super Kings,Deccan Chargers,2009-04-27,4:00 pm,2009
Match 17,Kolkata Knight Riders,Mumbai Indians,2009-04-27,8:00 pm,2009
Match 18,Delhi Daredevils,Rajasthan Royals,2009-04-28,8:00 pm,2009
Match 19,Royal Challengers Bangalore,Kolkata Knight Riders,2009-04-29,4:00 pm,2009
Match 20,Punjab Kings,Mumbai Indians,2009-04-29,8:00 pm,2009
Match 21,Deccan Chargers,Delhi Daredevils,2009-04-30,4:00 pm,2009
Match 22,Chennai Super Kings,Rajasthan Royals,2009-04-30,8:00 pm,2009
Match 23,Kolkata Knight Riders,Mumbai Indians,2009-05-01,4:00 pm,2009
Match 24,Royal Challengers Bangalore,Punjab Kings,2009-05-01,8:00 pm,2009
Match 25,Deccan Chargers,Rajasthan Royals,2009-05-02,4:00 pm,2009
Match 26,Chennai Super Kings,Delhi Daredevils,2009-05-02,8:00 pm,2009
Match 27,Punjab Kings,Kolkata Knight Riders,2009-05-03,4:00 pm,2009
Match 28,Royal Challengers Bangalore,Mumbai Indians,2009-05-03,8:00 pm,2009
Match 29,Chennai Super Kings,Deccan Chargers,2009-05-04,8:00 pm,2009
Match 30,Punjab Kings,Rajasthan Royals,2009-05-05,4:00 pm,2009
Match 31,Delhi Daredevils,Kolkata Knight Riders,2009-05-05,8:00 pm,2009
Match 32,Deccan Chargers,Mumbai Indians,2009-05-06,8:00 pm,2009
Match 33,Royal Challengers Bangalore,Rajasthan Royals,2009-05-07,4:00 pm,2009
Match 34,Chennai Super Kings,Punjab Kings,2009-05-07,8:00 pm,2009
Match 35,Delhi Daredevils,Mumbai Indians,2009-05-08,8:00 pm,2009
Match 36,Deccan Chargers,Punjab Kings,2009-05-09,4:00 pm,2009
Match 37,Chennai Super Kings,Rajasthan Royals,2009-05-09,8:00 pm,2009
Match 38,Royal Challengers Bangalore,Mumbai Indians,2009-05-10,4:00 pm,2009
Match 39,Delhi Daredevils,Kolkata Knight Riders,2009-05-10,8:00 pm,2009
Match 40,Deccan Chargers,Rajasthan Royals,2009-05-11,8:00 pm,2009
Match 41,Royal Challengers Bangalore,Kolkata Knight Riders,2009-05-12,4:00 pm,2009
Match 42,Punjab Kings,Mumbai Indians,2009-05-12,8:00 pm,2009
